0:0:0:0:0:0:0:1 - - [30/May/2023:11:25:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 4148
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero1.png HTTP/1.1" 200 29071
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero2.png HTTP/1.1" 200 32001
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero5.png HTTP/1.1" 200 28451
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero4.png HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero6.png HTTP/1.1" 200 30741
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero3.png HTTP/1.1" 200 30153
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero14.png HTTP/1.1" 200 32585
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero15.png HTTP/1.1" 200 31175
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero12.png HTTP/1.1" 200 28861
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero9.png HTTP/1.1" 200 28732
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero16.png HTTP/1.1" 200 26787
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero10.png HTTP/1.1" 200 27936
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero7.png HTTP/1.1" 200 23164
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero8.png HTTP/1.1" 200 32931
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero11.png HTTP/1.1" 200 39700
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /day45_css_js/images/hero13.png HTTP/1.1" 200 30978
0:0:0:0:0:0:0:1 - - [30/May/2023:11:26:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 4148
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero1.png HTTP/1.1" 200 29071
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero2.png HTTP/1.1" 200 32001
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero3.png HTTP/1.1" 200 30153
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero5.png HTTP/1.1" 200 28451
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero4.png HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero6.png HTTP/1.1" 200 30741
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero14.png HTTP/1.1" 200 32585
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero12.png HTTP/1.1" 200 28861
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero13.png HTTP/1.1" 200 30978
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero9.png HTTP/1.1" 200 28732
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero10.png HTTP/1.1" 200 27936
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero11.png HTTP/1.1" 200 39700
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero15.png HTTP/1.1" 200 31175
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero7.png HTTP/1.1" 200 23164
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero16.png HTTP/1.1" 200 26787
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /day45_css_js/images/hero8.png HTTP/1.1" 200 32931
0:0:0:0:0:0:0:1 - - [30/May/2023:11:27:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:28:03 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:11:28:03 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [30/May/2023:11:28:03 +0900] "GET /day45_css_js/images/hero2.png HTTP/1.1" 200 32001
0:0:0:0:0:0:0:1 - - [30/May/2023:11:28:03 +0900] "GET /day45_css_js/images/hero1.png HTTP/1.1" 200 29071
